Name,Group,Organization,Link,Date
"Decisions, Decisions: Dashboards and Reports",Data Visualization,Coursera,https://www.coursera.org/account/accomplishments/certificate/UGCF8E96ZC3Z,Dec-23
Digital Manufacturing & Design,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/23Y2KY29UM7X,Dec-23
Digital Manufacturing & Design Technology Specialization,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/specialization/AR9YSCKTCMMV,Dec-23
Digital Thread: Components,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/MVME5A295JHH,Dec-23
Digital Thread: Implementation,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/XLSEWBJDLN6Y,Dec-23
Excel Fundamentals for Data Analysis,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/5NVHLUXSBKHG,Dec-23
Excel Power Tools for Data Analysis,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/TT459YHGUZDL,Dec-23
Excel Skills for Data Analytics and Visualization Specialization,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/CZELPT8UBBP5,Dec-23
Foundations of Business Intelligence,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/EUSUGNDEDSLV,Dec-23
Foundations of Data Science,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/UC3XKWKXH3UH,Dec-23
Go Beyond the Numbers: Translate Data into Insights,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/BA7S58KFZPBR,Dec-23
Google Advanced Data Analytics Capstone,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/2NATLPBJFVKR,Dec-23
Google Advanced Data Analytics Specialization,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/TPTVMMPPQ53W,Dec-23
Google Business Intelligence Specialization,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/specialization/certificate/K34746FK8WT5,Dec-23
Intelligent Machining,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/RZW7G8GQ9YH6,Dec-23
Introduction to Operations Management,Operational Management,Coursera,https://www.coursera.org/account/accomplishments/records/PST3M7UM7GEP,Dec-23
MBSE: Model-Based Systems Engineering,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/JFNPSEK9KMQ3,Dec-23
Programming for Everybody (Getting Started with Python),Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/BPB4R9GADTDX,Dec-23
Python Data Structures,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/SZDP938SAXTR,Dec-23
Regression Analysis: Simplify Complex Data Relationships,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/ZA8M6HA9TSN3,Dec-23
Roadmap to Success in Digital Manufacturing & Design,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/LH3W3Z2F67CF,Dec-23
Share Data Through the Art of Visualization,Data Visualization,Coursera,https://www.coursera.org/account/accomplishments/certificate/5G8EFDT8QQEA,Dec-23
The Nature of Data and Relational Database Design,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/SZZTTEBY8CML,Dec-23
The Nuts and Bolts of Machine Learning,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/KC6R7QNZWKT3,Dec-23
The Path to Insights: Data Models and Pipelines,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/UZRSN7LTEUGR,Dec-23
The Power of Statistics,Data Analysis,Coursera,https://www.coursera.org/account/accomplishments/certificate/6QRRXBYUXAZR,Dec-23
The hidden value - Lean in manufacturing and services,Manufacturing,Coursera,https://www.coursera.org/account/accomplishments/records/SQJ77SU3BTJ3,Dec-23
Using Python to Access Web Data,Programming,Coursera,https://www.coursera.org/account/accomplishments/certificate/XDRD37J3JMSD,Dec-23
Build Three Real-World Python Applications,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/2e671f2f295a0e2c3dde23cb8ad50830b94376f3dcc16a02abe75275a48ce41b,Nov-23
Create an Open-Source Project in Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/09143313c1e4076ee9ecbbca6bf3293d17cd335bac11cd21e54911eb906a0824,Nov-23
Introduction to Data Warehouses,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/2f5548e24f0339660ee871b2c23975efe8066e4cb06b768af19b7ef3cd945e89,Nov-23
Introduction to PostgreSQL,Technology,LinkedIn,https://www.linkedin.com/learning/certificates/7f6984a01e7d515643c1a762edcc275d60a64c9d1d28d415bf9e8f827cf38688,Nov-23
Level Up: PostgreSQL,Technology,LinkedIn,https://www.linkedin.com/learning/certificates/a01835e1783ad1449cd5f67358794128868d0de4126bcb229b6165208559c219,Nov-23
Python Data Structures and Algorithms,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/0b8d68c435ff5132a2f02738b1b2b05bd896ce6045bcfe7e28369b27888c27f8,Nov-23
Python Hands-On Practice,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/f031a07396f08d3a96833f522a66104bd4b876ad0305de5c5a097c571379fa02,Nov-23
Python Projects,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/0f372d602f89279504bb05c77dfd950ec12c7874ddfec6bce9d178dd3b38f346,Nov-23
Python for Data Analysis: Solve Real-World Challenges,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/d442062dc30c4136765d93e7185fff155684b0801ddd782d1e05a335657a333a,Nov-23
SQL Practice: Intermediate Queries,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/c8e590836ac1c51645484f62071ce2404a8e353912d3ad80890228042fc22531,Nov-23
Using SQL with Python,Data Analysis,LinkedIn,https://www.linkedin.com/learning/certificates/7c4076511330a3c886766504d1c4c0da15bdc77594c440c6ab2cacb12dc2e57e,Nov-23
8 Things You Must Know in Python,Programming,LinkedIn,https://www.linkedin.com/learning/certificates/65b96e58b06f556b33c1f5a2f8d57d3084e480f35e2d427f9b35de6a8f81c211,Oct-23
